sentences,label
    enggak jenuh,0
"  aslinya cantik dan ayu loh mbak krn aku sudah bertemu langsung juga sesembaknya sangat ramah tidak sombong seperti mantan0 yg lain hhe maaf ikut nimbrung ,kalo makeup dibuat senatural mungkin krn sesembaknya memang mau menonjolkan wa",0
"  Astagfirullah... Mbak tolong ucapannya dijaga ya, ALLAH menciptakan manusia dengan sempurna, kok mbak ngomongnya kayak gitu. Aurel cantik kok, wajar manusia ada kekurangannya. Dan mbak Ashanti wajar belain anaknya, bukan caper ya mbak, sia",0
"  aurel itu cantik tau. Pernah liat asli nya kok. Org sirik itu yg menjelek jelekannya. Padahal muka sendiri belum tente lebih cantik dan muda daripada aurel. aurel difoto nampak putib bilangnya suntik putih, kelihatan hitam dibilang gk bisa ra",0
  dapatkan voucher pulsa rp 05 000     dua orang beruntung hari nya dengan retweet bniquotes,0
  euum setuju sekaliii emang cantikan ini dari pada yang sebelumnya. Lebih WOW... ?? terbaik ?? terpelihara hehe,0
  istri   ipar   anak usia 3 tahun   sopir mobil rental mencari makan siang mulai keroncongan sel jalan jalan gasibu hari minggu   jam 0 siang gasibu mencari alternatif makan siang   akhirnya terpikir kampung daun   kondisi jalan macet membuat perjalanan cukup lama   0 jam   kampung daun   cukup banyak orang duduk di sekitaran lobby  ,0
"  iya aku sih jujur bukan fans Nia, biasa aja sama dia, pas dia tenar banget sama sinteronnya juga aku biasa aja. Tapi makin ke sini kalau soal urusan keluarga, aku salut ama dia. Dia kan masih muda ya itungannya, sama aku cuma beda 0-3 t",0
"  iya betul mba. Ariel gak ganteng. Tapi ariel punya kharisma yg menarik. Udah tua pun skrang agak keriput wajahnya ttp aja kharisma nya sebagai lelaki keliatan lebih terpancar. Buktinya mama, dan tante saya makin tergila0 sama ariel dan sa",0
"  justru karena ka bella sholehah, punya penghasilan sendiri, dan cantik jadi Allah mau kasih jodoh yang lebih baik lagi..",0
  kader pdip ttu menyatakan mundur kepengurusan partai,0
  kak   kecepatan turun 500 kbps jika kuota habis top naik kuota gya,0
  mungkin berkunjung sore hari   saya memilih duduk saung   nyamuk nya lumayan mengganggu   lampu temaram menjurus redup membuat mata saya sakit   makanan standar sunda resto   enak sambal nya oke  ,0
  pokok nya kurang kurang afdol kalau lembang bandung mampir ke sini   3 humas naik buat kampung daun  ,0
  rasa biasa   rata rata tidak mengecewakan   harga standar   kurang menyenangkan antrean panjang menuju meja prasmanan tempat pengunjung memilih masakan   kunjungan kali adalah kunjungan kedua kalinya   waktu datang pertama kali   saya pikir musim liburan   jadi dimaklumi   ternyata kali begitu   antre   antrean panjang dikarenakan pengunjung memesan masakan  ,0
  sekarang kamu menonton apa di genflix selama 03 jam  ,0
"  suami saya seumuran sama saya mba, malah tuaan saya beberapa bulan tapi alhamdulillah suami saya gak kekanak kanakan hehe",0
  tetap masuk,0
  y udh .salam knl y mbk seneng bisa knl sm mbk. Sbagai manusia kita saling ingetin.y sbagai manusia kita hrs tau diri jgn sombong yg digedein mentang0 dah jd artis haha..y udh mbk kita cabut ja y dri komen d foto ni nnt kita jd korban dy sel,0
" .m sama Mba! Gua jg ga bisa benci Nikmir. Salut malah ama dia ga muna! Artis lain maaf image aja di dpan, sok baik, sok teraniaya n jual air mata. Nikita ini real.. sygnya msyarakat kita cendrung yg dilihat apa yg ada di superfisial",0
"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",0
"""@ayu.kinantii isyan skrg berubah ya:( baju nya nakal""",0
"""@vnagstn astaga si isyana keren banget ini; bisa ada musisi lokal yang selera musiknya kayak gini""",0
"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",0
"""Aamiin. Doa baik juga untuk Meldi""",0
"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",0
"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya… Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",0
"""Aku doakan perempuan baik yg bernama Nagita selalu sehat, bahagia lahir batin, dan banyak yang sayang sm dia..""",0
"""aku memutuskan untuk menjadi fans isyana. gila keren banget ya, otak mereka berdua bisa berfungsi dg menjalankan perintah ke tangan dan kaki, di waktu bersamaan""",0
"""Aku udah. Dan sumpah bagus banget. Serasa liat cerita disney gitu""",0
"""AMZING ISYANAA!! Jujur aku amazed banget dengan skill dan minat Isyana dalam bermusik. Ga Cuma bernyanyi tapi main alat musik pun jago banget""",0
"""Anak yg cerdas terbentuk dr pola asuh sekaligus pola didik ortu yg cerdas pula sih pada saranya. Sesimple itu""",0
"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",0
"""astaga masih pagi dibikin ngakak ama komenan netijen yg ngmng suka bener""",0
"""Astaga ngehujat sampe postingan paling bawah""",0
"""Aura org pinter emg shining ya bun @hy_dindut""",0
"""Awalnya ngira baju endorse dari KFC, mirip '-'""",0
"""Bagusan foto pakai masker drpd gak pakai masker""",0
"""Baik buruk nya kamu akan tetap terlihat buruk di mata mereka yang ga menyukai mu..""",0
"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",0
"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",0
"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",0
"""Bangkit ya bang jangan lemah buat pelajaran dan ujian buat lu jadi yang lebih baik lagi bang""",0
"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",0
"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",0
"""Banyak yg kecewa karena lu begini rik!!!!""",0
"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",0
"""Bener bener idola, dr musisi yang dipandang sebelah mata sampe buat label musik sendiri, congrats syan""",0
"""berdiri di kaki sendiri lebih baik""",0
"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri… biar musik Indonesia lebih berwarna""",0
"""Berkarya teros meldi walo ga ada yg nuntun kamu.""",0
"""Biasa nya aq nangis kalo lagu nya seiihh, kalo sekarang nangis karna saking bagus nya lagu nya""",0
"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",0
"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",0
"""Bikin skandal karena kepengen tenar?""",0
"""BISA BERHENTI CAKEP GA KAKK? PUSINGGGG IH""",0
"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",0
"""Btw yang video tapi boong itu dia buat nya tahun lalu bukan pas masalah yang sekarang kalau gak percaya lihat tribun news jadi jangan hujat dia lagi ya""",0
"""Bukan keliatan ragu, tapi keliatan cantik""",0
"""Bully an di ig lebih ngeri daripada di fb ajg gua jadi ngerii! Ajgg",0
"""Buset hate comment ampe postingan paling bawah""",0
"""Cantik bajunya keren warnanya bikin pangling""",0
"""Cantik banget kalau pakai baju kayak gitu""",0
"""Cantik banget kalo meldi muka natural kek gini""",0
"""Cantik banget semoga sehat selalu kakak panutan""",0
"""Cantik semua congrats kak msuk nominsi tc candler""",0
"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",0
"""cewe cakep, setia kok disia sia in sahabat""",0
